DlangUI log file
2016-12-20 02:44:15.774 D  registerFont(Serif,Palatino Linotype)
2016-12-20 02:44:15.774 D  registerFont(Serif,Segoe MDL2 Assets)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Segoe Print)
2016-12-20 02:44:15.774 D  registerFont(Cursive,Segoe Script)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Segoe UI)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Segoe UI Black)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Segoe UI Emoji)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Segoe UI Historic)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Segoe UI Light)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Segoe UI Semibold)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Segoe UI Semilight)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Segoe UI Symbol)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,SimSun)
2016-12-20 02:44:15.774 D  registerFont(MonoSpace,NSimSun)
2016-12-20 02:44:15.774 D  registerFont(MonoSpace,SimSun-ExtB)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Sitka Small)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Sitka Text)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Sitka Subheading)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Sitka Heading)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Sitka Display)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Sitka Banner)
2016-12-20 02:44:15.774 D  registerFont(Serif,Sylfaen)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Tahoma)
2016-12-20 02:44:15.774 D  registerFont(Serif,Times New Roman)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Trebuchet MS)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Verdana)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Yu Gothic)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Yu Gothic UI)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Yu Gothic UI Semibold)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Yu Gothic Light)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Yu Gothic UI Light)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Yu Gothic Medium)
2016-12-20 02:44:15.774 D  registerFont(SansSerif,Yu Gothic UI Semilight)
2016-12-20 02:44:15.774 I  Found 83 font faces
2016-12-20 02:44:15.774 D  initResourceManagers()
2016-12-20 02:44:15.774 I  Creating ImageCache
2016-12-20 02:44:15.774 I  Creating DrawableCache
2016-12-20 02:44:15.774 D  Calling initSharedResourceManagers()
2016-12-20 02:44:15.774 D  Calling initStandardEditorActions()
2016-12-20 02:44:15.774 D  Calling registerStandardWidgets()
2016-12-20 02:44:15.774 D  Registering standard widgets for DML
2016-12-20 02:44:15.774 D  initResourceManagers() -- finished
2016-12-20 02:44:15.774 D  Creating default theme
2016-12-20 02:44:15.774 D  Loading Derelict GL
2016-12-20 02:44:15.790 D  Derelict GL - loaded
2016-12-20 02:44:15.790 I  Entering UIAppMain: []
2016-12-20 02:44:15.790 D  Platform.createWindow is called
2016-12-20 02:44:15.790 V  Platform.createWindow : setDefaultLanguageAndThemeIfNecessary
2016-12-20 02:44:15.790 V  setDefaultLanguageAndThemeIfNecessary : setting UI language
2016-12-20 02:44:15.790 V  Loading language file
2016-12-20 02:44:15.790 D  Loading string resources from file @embedded@/std_en.ini
2016-12-20 02:44:15.790 V  Calling onThemeChanged
2016-12-20 02:44:15.790 V  setDefaultLanguageAndThemeIfNecessary : setting UI theme
2016-12-20 02:44:15.790 V  uiTheme setting new theme theme_default
2016-12-20 02:44:15.790 I  Applying loaded theme theme_default
2016-12-20 02:44:15.790 V  Platform.createWindow : new Win32Window
2016-12-20 02:44:15.790 D  Window onCreate
2016-12-20 02:44:15.790 V  created window, adding to map
2016-12-20 02:44:15.806 V  Reloading DerelictGL3
2016-12-20 02:44:15.806 V  Reloading DerelictGL
2016-12-20 02:44:15.806 D  glSupport not initialized: trying to create
2016-12-20 02:44:15.806 I  initShaders() is called
2016-12-20 02:44:15.806 V  Compiling solid fill program
2016-12-20 02:44:15.806 D  compileShader: glslVersion = 4.30 - Build 20.19.15.4416, type: GL_VERTEX_SHADER
2016-12-20 02:44:15.806 D  compileShader: glslVersion = 4.30 - Build 20.19.15.4416, type: GL_FRAGMENT_SHADER
2016-12-20 02:44:15.806 D  Program linked successfully
2016-12-20 02:44:15.806 V  Program is initialized successfully
2016-12-20 02:44:15.806 V  Compiling line program
2016-12-20 02:44:15.806 D  compileShader: glslVersion = 4.30 - Build 20.19.15.4416, type: GL_VERTEX_SHADER
2016-12-20 02:44:15.806 D  compileShader: glslVersion = 4.30 - Build 20.19.15.4416, type: GL_FRAGMENT_SHADER
2016-12-20 02:44:15.806 D  Program linked successfully
2016-12-20 02:44:15.806 V  Program is initialized successfully
2016-12-20 02:44:15.806 V  Compiling texture program
2016-12-20 02:44:15.806 D  compileShader: glslVersion = 4.30 - Build 20.19.15.4416, type: GL_VERTEX_SHADER
2016-12-20 02:44:15.806 D  compileShader: glslVersion = 4.30 - Build 20.19.15.4416, type: GL_FRAGMENT_SHADER
2016-12-20 02:44:15.806 D  Program linked successfully
2016-12-20 02:44:15.806 V  Program is initialized successfully
2016-12-20 02:44:15.806 D  Shaders compiled successfully
